epoch;accuracy;loss;val_accuracy;val_loss
0;0.8215625286102295;0.5419206023216248;0.9171648025512695;0.26035988330841064
1;0.8303124904632568;0.46120110154151917;0.8223740458488464;0.39264124631881714
2;0.856249988079071;0.39386168122291565;0.8795900940895081;0.317513644695282
3;0.8728414177894592;0.35070517659187317;0.8650726079940796;0.37998166680336
4;0.8812500238418579;0.34504997730255127;0.901793360710144;0.29874083399772644
5;0.8722134828567505;0.3624933958053589;0.9163108468055725;0.23829349875450134
6;0.8715855479240417;0.3560868799686432;0.8812980651855469;0.3535006642341614
7;0.8775510191917419;0.36666131019592285;0.8693424463272095;0.35753899812698364
8;0.8791208863258362;0.3428359925746918;0.8975234627723694;0.28239357471466064
9;0.901562511920929;0.2958676517009735;0.9128949642181396;0.28297480940818787
10;0.8999999761581421;0.29098713397979736;0.9214347004890442;0.22429458796977997
11;0.8837500214576721;0.33580711483955383;0.8830059766769409;0.3208721876144409
12;0.8888540267944336;0.3286186456680298;0.9052092432975769;0.2623169422149658
13;0.901412844657898;0.29774951934814453;0.8385995030403137;0.42706993222236633
14;0.8963893055915833;0.31455954909324646;0.8437232971191406;0.4181375205516815
15;0.8951334357261658;0.3184710144996643;0.8403074145317078;0.38536641001701355
