Class,Accuracy,F1-Score,Precision,Recall
COVID-19,0.7608881298035867,0.16666666666666669,0.1696969696969697,0.16374269005847952
Normal,0.6874466268146883,0.22457627118644066,0.22362869198312235,0.225531914893617
Pneumonia,0.5456874466268147,0.6531942633637549,0.6514954486345904,0.6549019607843137
