epoch,train/loss,train/accuracy_top1,train/accuracy_top5,val/loss,val/accuracy_top1,val/accuracy_top5
1,0.20338720083236694,0.9302151203155518,1.0,0.36190080642700195,0.855678915977478,1.0
2,0.1470741629600525,0.9482241272926331,1.0,0.33895137906074524,0.8659265637397766,1.0
3,0.14120639860630035,0.9494747519493103,1.0,0.18128837645053864,0.929974377155304,1.0
4,0.1270124614238739,0.9559779763221741,1.0,0.23762133717536926,0.9171648025512695,1.0
5,0.11993233859539032,0.956853449344635,1.0,0.21341611444950104,0.9265584945678711,1.0
6,0.11492732167243958,0.959604799747467,1.0,0.22604411840438843,0.9222886562347412,1.0
7,0.10415980219841003,0.9616057872772217,1.0,0.12827450037002563,0.9573014378547668,1.0
8,0.10910587012767792,0.9604802131652832,1.0,0.1156957596540451,0.9598633646965027,1.0
9,0.10186737775802612,0.965982973575592,1.0,0.22998568415641785,0.9163108468055725,1.0
10,0.09956807643175125,0.9666082859039307,1.0,0.13536764681339264,0.954739511013031,1.0
11,0.09993881732225418,0.9637318849563599,1.0,0.13968883454799652,0.9564474821090698,1.0
12,0.0923863872885704,0.9691095352172852,1.0,0.3274039030075073,0.8761742115020752,1.0
13,0.09586498141288757,0.9634817242622375,1.0,0.11472681164741516,0.9615713357925415,1.0
14,0.08796215802431107,0.9702351093292236,1.0,0.1575041562318802,0.9453458786010742,1.0
15,0.08665207773447037,0.9687343835830688,1.0,0.11060440540313721,0.9692570567131042,1.0
16,0.09082990884780884,0.9687343835830688,1.0,0.12641344964504242,0.954739511013031,1.0
17,0.08386989682912827,0.9698599576950073,1.0,0.11275339126586914,0.9675490856170654,1.0
18,0.07709955424070358,0.9741120338439941,1.0,0.1319371908903122,0.9590094089508057,1.0
19,0.08934765309095383,0.9672335982322693,1.0,0.28256669640541077,0.8864218592643738,1.0
20,0.08303970843553543,0.9716107845306396,1.0,0.07792520523071289,0.9726729393005371,1.0
